"id","organization","category","best_ask","fit_angle","url","status"
"1","UNESCO","UN/culture","partnership or youth culture program","Culture and heritage preservation with youth-led digital tools","https://www.unesco.org/","needs verification"
"2","UNESCO Global Youth Grant Scheme","UN/youth grants","grant or youth pilot","Youth-led social impact and cultural memory preservation","https://www.unesco.org/en/youth/global-grant-scheme","needs verification"
"3","UNESCO World Heritage Centre","UN/heritage","partnership or visibility","Digital preservation for cultural and heritage sites","https://whc.unesco.org/","needs verification"
"4","UNESCO Rapid Response Facility","UN/heritage conservation","grant partner referral","At-risk heritage and rapid documentation before loss","https://whc.unesco.org/en/rapidresponse","needs verification"
"5","United Nations Alliance of Civilizations","UN/intercultural","visibility and youth program","Intercultural and interreligious dialogue through living 3D memories","https://www.unaoc.org/","needs verification"
"6","PLURAL+ Youth Video Festival","UN/youth media","video competition","Youth film about AI and cultural memory","https://pluralplus.unaoc.org/","in progress"
"7","UNDP Innovation Facility","UN/innovation","pilot partnership","AI for community-led heritage and social cohesion","https://www.undp.org/","needs verification"
"8","UNICEF Innovation","UN/youth innovation","youth innovation partner","Student-led learning and memory archive for young people","https://www.unicef.org/innovation/","needs verification"
"9","UN-Habitat Urban Youth Fund","UN/youth urban grants","grant","Urban memory preservation led by youth in developing cities","https://unhabitat.org/urban-youth-fund","needs verification"
"10","ITU AI for Good","UN/AI","showcase or impact award","AI spatial reconstruction for culture and education","https://aiforgood.itu.int/","needs verification"
"11","United Nations Volunteers","UN/volunteer network","partner network","Volunteer-based footage capture for community archive","https://www.unv.org/","needs verification"
"12","UNITAR","UN/training","education partnership","Training students to preserve local heritage in 3D","https://unitar.org/","needs verification"
"13","UNOPS Innovation","UN/project services","implementation partner","Cloud-based infrastructure for heritage documentation","https://www.unops.org/","needs verification"
"14","UNFPA Youth","UN/youth","youth story partnership","Youth identity and memory through culture","https://www.unfpa.org/youth","needs verification"
"15","UN SDG Action Campaign","UN/SDG visibility","campaign feature","SDG 4 11 16 cultural inclusion and education","https://sdgactioncampaign.org/","needs verification"
"16","SDSN Youth SDG Innovation Fund","UN-linked youth","grant","Youth-led SDG innovation and cultural resilience","https://www.sdsnyouth.org/seedfund/sdg-youth-innovation-fund","needs verification"
"17","World Bank Youth Summit","intergovernmental/youth","pitch or network","Youth social innovation preserving places through AI","https://www.worldbank.org/en/events/2025/12/01/youth-summit-2026","needs verification"
"18","IOM Innovation Facility","intergovernmental/migration","partnership","Memory preservation for displaced communities without exploitation","https://innovation.iom.int/","needs verification"
"19","ICCROM","intergovernmental/heritage","heritage partner","Cultural heritage conservation training and digital preservation","https://www.iccrom.org/","needs verification"
"20","ICOMOS","heritage NGO","expert partner","Cultural site preservation and documentation standards","https://www.icomos.org/","needs verification"
"21","IUCN","conservation NGO","heritage/nature partner","Cultural-natural places at risk and community documentation","https://www.iucn.org/","needs verification"
"22","ALIPH Foundation","heritage funder","grant or partner","Protecting heritage threatened by conflict and disaster","https://www.aliph-foundation.org/","needs verification"
"23","World Monuments Fund","heritage funder","partner or watch nomination","Digital documentation of threatened cultural spaces","https://www.wmf.org/","needs verification"
"24","Global Heritage Fund","heritage funder","partner","Community-led preservation of cultural heritage","https://globalheritagefund.org/","needs verification"
"25","CyArk","digital heritage NGO","technical partnership","3D heritage documentation and public access","https://www.cyark.org/","needs verification"
"26","Cultural Emergency Response","heritage emergency funder","grant or partner","Rapid preservation of culture under threat","https://www.culturalemergency.org/","needs verification"
"27","Prince Claus Fund","culture funder","grant","Culture and creativity under pressure","https://princeclausfund.org/","needs verification"
"28","Whiting Foundation Cultural Heritage","heritage grantmaker","grant","International local stewards preserving under-resourced heritage","https://www.whiting.org/cultural-heritage/heritage-grants","needs verification"
"29","UCLA Modern Endangered Archives Program","digital archive funder","grant","Digital preservation of at-risk archives and cultural memory","https://meap.library.ucla.edu/","needs verification"
"30","British Library Endangered Archives Programme","digital archive funder","grant","Digitization of endangered cultural archives","https://eap.bl.uk/","needs verification"
"31","Arcadia Fund","heritage/environment funder","grant via partner","Open access digital preservation and endangered culture","https://www.arcadiafund.org.uk/","needs verification"
"32","Getty Foundation","arts/heritage funder","grant or partner","Conservation and digital cultural heritage education","https://www.getty.edu/foundation/","needs verification"
"33","Andrew W. Mellon Foundation","humanities funder","grant via nonprofit","Digital humanities and cultural memory access","https://www.mellon.org/","needs verification"
"34","National Endowment for the Humanities","humanities funder","grant via US partner","Digital humanities and preservation model","https://www.neh.gov/","needs verification"
"35","Smithsonian Center for Folklife and Cultural Heritage","culture institution","partner","Living culture and community-led memory archive","https://folklife.si.edu/","needs verification"
"36","Smithsonian Open Access","culture institution","visibility/partner","Open cultural access and educational 3D experiences","https://www.si.edu/openaccess","needs verification"
"37","Europa Nostra","heritage network","award or partner","Digital youth-led heritage preservation","https://www.europanostra.org/","needs verification"
"38","Europeana Foundation","digital culture network","partner","Digital cultural heritage access and discovery","https://www.europeana.eu/","needs verification"
"39","International National Trusts Organisation","heritage network","partner","Community heritage documentation network","https://www.into.org/","needs verification"
"40","World Digital Library Legacy Network","digital heritage","partner referral","Global digital access to cultural memory","https://www.loc.gov/collections/world-digital-library/about-this-collection/","needs verification"
"41","Google.org","tech philanthropy","grant or accelerator","AI for social good and cultural preservation","https://www.google.org/","needs verification"
"42","Google for Nonprofits","tech nonprofit support","tools and credits","Free tools for NGO-style preservemy.world operations","https://www.google.com/nonprofits/","needs verification"
"43","Google Cloud for Startups","cloud credits","cloud support","Compute infrastructure for video-to-3D processing","https://cloud.google.com/startup","needs verification"
"44","Microsoft AI for Good Lab","tech philanthropy","partner or grant","AI for culture education and social impact","https://www.microsoft.com/en-us/ai/ai-for-good","needs verification"
"45","Microsoft Imagine Cup","student competition","competition","Student AI prototype for social good","https://imaginecup.microsoft.com/","needs verification"
"46","Microsoft Imagine Cup Junior","student AI competition","competition","AI for good student project age fit","https://imaginecup.microsoft.com/junior","needs verification"
"47","AWS IMAGINE Grant","cloud philanthropy","grant or credits","Cloud scale for nonprofit digital preservation","https://aws.amazon.com/government-education/nonprofits/aws-imagine-grant-program/","needs verification"
"48","AWS Activate","startup credits","cloud credits","Cloud compute for prototype and pilot uploads","https://aws.amazon.com/activate/","needs verification"
"49","Cisco Foundation","tech philanthropy","grant","Technology for inclusive communities and resilience","https://www.cisco.com/c/en/us/about/csr/community/nonprofits/foundation.html","needs verification"
"50","Cisco Global Problem Solver Challenge","student/social innovation","competition","Student tech for social impact","https://www.cisco.com/c/en/us/about/csr/community/nonprofits/global-problem-solver-challenge.html","needs verification"
"51","Twilio.org Impact Fund","tech nonprofit funder","grant","Nonprofit tech infrastructure and community outreach","https://www.twilio.org/en-us/support-and-resources/impact-fund","needs verification"
"52","Salesforce Accelerator AI for Impact","tech philanthropy","accelerator","AI and CRM for nonprofit community archive","https://www.salesforce.com/company/philanthropy/","needs verification"
"53","Meta Llama Impact Grants","AI grants","grant","Open AI tools for cultural and educational access","https://ai.meta.com/llama/","needs verification"
"54","Mozilla Foundation","internet/AI funder","fellowship or grant","Open trustworthy AI for public-interest memory preservation","https://foundation.mozilla.org/","needs verification"
"55","Internet Society Foundation","internet funder","grant","Internet-enabled cultural access and community archives","https://www.isocfoundation.org/","needs verification"
"56","Patrick J. McGovern Foundation","AI/data philanthropy","grant","AI and data for social good and culture","https://www.mcgovern.org/","needs verification"
"57","Rockefeller Foundation","global philanthropy","grant","AI for social impact and resilient communities","https://www.rockefellerfoundation.org/","needs verification"
"58","Omidyar Network","tech/social impact","grant or investment","Responsible tech and civic/social impact","https://omidyar.com/","needs verification"
"59","Schmidt Futures","science/tech philanthropy","fellowship or grant","AI and public-good technology by young builder","https://www.schmidtfutures.org/","needs verification"
"60","Skoll Foundation","social entrepreneur funder","award/network","Social innovation preserving community memory","https://skoll.org/","needs verification"
"61","MacArthur Foundation","global philanthropy","grant","Culture technology and human-centered preservation","https://www.macfound.org/","needs verification"
"62","Ford Foundation","global philanthropy","grant","Culture equity and community-led archives","https://www.fordfoundation.org/","needs verification"
"63","Open Society Foundations","global philanthropy","grant","Memory documentation civic inclusion and open culture","https://www.opensocietyfoundations.org/","needs verification"
"64","Bill and Melinda Gates Foundation","global philanthropy","partner referral","Education technology and youth access angle","https://www.gatesfoundation.org/","needs verification"
"65","Mastercard Foundation","youth/education funder","grant via partner","Young African/Pakistani-style youth innovation and learning model","https://mastercardfdn.org/","needs verification"
"66","Draper Richards Kaplan Foundation","venture philanthropy","fellowship","Early social entrepreneur scaling nonprofit model","https://www.drkfoundation.org/","needs verification"
"67","Mulago Foundation","impact funder","grant via referral","Scalable social impact if pilot proves traction","https://www.mulagofoundation.org/","needs verification"
"68","Echoing Green","social entrepreneur fellowship","fellowship","Youth founder with social-impact venture","https://echoinggreen.org/","needs verification"
"69","Ashoka","social entrepreneur network","young changemaker","15-year-old founder building movement for cultural memory","https://www.ashoka.org/","needs verification"
"70","Acumen Academy","social innovation network","fellowship/community","Social innovation training and network","https://acumenacademy.org/","needs verification"
"71","The Roddenberry Foundation","social impact funder","prize or grant","Bold idea using tech for human connection","https://roddenberryfoundation.org/","needs verification"
"72","Global Innovation Fund","social innovation funder","grant/investment","Scalable development impact if nonprofit model matures","https://www.globalinnovation.fund/","needs verification"
"73","MIT Solve","social innovation challenge","challenge/funding","AI for Humanity and community-led preservation","https://solve.mit.edu/","needs verification"
"74","Fast Forward","tech nonprofit accelerator","accelerator","Tech nonprofit preserving culture in 3D","https://www.ffwd.org/","needs verification"
"75","ElevenLabs Impact Program","AI impact partner","product credits/partner","Multilingual oral histories and audio guides for 3D memories","https://elevenlabs.io/impact-program","needs verification"
"76","Hugging Face for Good","AI community","technical partner","Open-source AI community for preservation pipeline","https://huggingface.co/","needs verification"
"77","NVIDIA Inception","startup support","technical partner","GPU/AI ecosystem for 3D reconstruction","https://www.nvidia.com/en-us/startups/","needs verification"
"78","OpenAI Forum / nonprofits ecosystem","AI community","partner/outreach","Responsible AI storytelling and public benefit prototype","https://forum.openai.com/","needs verification"
"79","AI for Good Foundation","AI nonprofit network","partner","AI for SDGs and culture/social cohesion","https://ai4good.org/","needs verification"
"80","DataKind","data for good NGO","technical partner","Volunteer data/AI support for nonprofit scaling","https://www.datakind.org/","needs verification"
"81","Tech To The Rescue","tech nonprofit matching","partner","Volunteer tech help for nonprofit infrastructure","https://www.techtotherescue.org/","needs verification"
"82","NetHope","NGO tech network","partner","Connect with global NGOs using technology","https://nethope.org/","needs verification"
"83","TechSoup","nonprofit tech network","tools/credits","Discounted tools and nonprofit verification path","https://www.techsoup.org/","needs verification"
"84","One Young World","youth leadership network","summit/scholarship","Young founder preserving culture and identity","https://www.oneyoungworld.com/","needs verification"
"85","Diana Award","youth social action","award","Student-led social action and heritage preservation","https://diana-award.org.uk/","needs verification"
"86","Global Changemakers","youth network/grants","grant or mentorship","Youth-led changemaking and cultural memory initiative","https://www.global-changemakers.net/","needs verification"
"87","Social Shifters","youth social innovation","challenge/grant","Youth-led social innovation preserving places","https://www.socialshifters.co/","needs verification"
"88","Youth Co:Lab","UNDP/Citi youth innovation","challenge","Asia-Pacific youth social innovation","https://www.youthcolab.org/","needs verification"
"89","ChangemakersXchange","youth network","fellowship/network","Young social innovator preserving culture","https://changemakersxchange.org/","needs verification"
"90","Global Youth Mobilization","youth grants","grant","Youth-led community action and resilience","https://globalyouthmobilization.org/","needs verification"
"91","CIVICUS Youth Action Lab","youth civil society","grant/network","Youth civic archive and community memory","https://www.civicus.org/","needs verification"
"92","Obama Foundation Scholars/Leaders","youth leadership","future network","Young founder leadership pipeline","https://www.obama.org/","needs verification"
"93","Theirworld Global Youth Ambassadors","education/youth","ambassador network","3D worlds for education and cultural learning","https://theirworld.org/","needs verification"
"94","International Youth Foundation","youth development","partner","Youth skills and social innovation","https://iyfglobal.org/","needs verification"
"95","Restless Development","youth NGO","partner","Youth-led community documentation movement","https://restlessdevelopment.org/","needs verification"
"96","Global Shapers Community","youth network","local chapter partner","Local youth ambassadors collecting heritage footage","https://www.globalshapers.org/","needs verification"
"97","World Economic Forum UpLink","innovation platform","challenge","Tech-for-good solution for community-led heritage","https://uplink.weforum.org/","needs verification"
"98","Nesta","innovation funder","partner/grant","Social innovation and digital culture preservation","https://www.nesta.org.uk/","needs verification"
"99","Knight Foundation","media/civic tech funder","grant via partner","Digital storytelling and civic memory","https://knightfoundation.org/","needs verification"
"100","Wikimedia Foundation","open knowledge nonprofit","partner/grant","Open cultural knowledge and community media preservation","https://wikimediafoundation.org/","needs verification"
